steroid,subject,matrix,condition,concentration
dhc,juv_12,ls,con,0.05
dhc,sg_88,ls,con,0.047959184
dhc,sg_90,ls,con,0.0368242676012643
dhc,sg_93,ls,con,0.033673469
dhc,sg_94,ls,con,0.0268432717334527
dhc,sg_12,ls,con,0.0366040230084623
dhc,sg_18,ls,con,0.0367464799762241
dhc,juv_4,ls,sti,0.136734694
dhc,juv_5,ls,sti,0.055102041
dhc,juv_6,ls,sti,0.112244898
dhc,cj_124,ls,sti,0.0319342988547494
dhc,juv_10,ls,sti,0.052040816
dhc,juv_11,ls,sti,0.0371329951126392
dhc,juv_14,ls,sti,0.055102041
dhc,sg_20,ls,sti,0.042857143
dhc,sg_21,ls,sti,0.04242971727836
dhc,sg_22,ls,sti,0.0250980377386459
dhc,sg_31,ls,sti,0.101020408
dhc,sg_36,ls,sti,0.115306122
dhc,sg_48,ls,sti,0.0481957497921261
dhc,juv_15,ls,sti,0.113265306
dhc,sg_14,ls,sti,0.05
p4,juv_1,ls,con,NA
p4,juv_3,ls,con,NA
p4,juv_7,ls,con,NA
p4,juv_9,ls,con,NA
p4,juv_12,ls,con,NA
p4,sg_88,ls,con,NA
p4,sg_90,ls,con,NA
p4,sg_93,ls,con,NA
p4,sg_94,ls,con,NA
p4,sg_12,ls,con,NA
p4,sg_18,ls,con,NA
p4,juv_4,ls,sti,0.0642087574309204
p4,juv_5,ls,sti,0.0487526519688573
p4,juv_6,ls,sti,0.0360628970291768
p4,cj_124,ls,sti,0.0584565441012975
p4,juv_10,ls,sti,0.0727236012526138
p4,juv_11,ls,sti,0.0277652128697833
p4,juv_14,ls,sti,0.0739208441618687
p4,sg_20,ls,sti,0.192
p4,sg_21,ls,sti,0.073
p4,sg_22,ls,sti,0.0325374178176614
p4,sg_31,ls,sti,0.148
p4,sg_36,ls,sti,0.077
p4,sg_48,ls,sti,0.0653145875901261
p4,juv_15,ls,sti,0.0723844154672274
p4,sg_14,ls,sti,0.0496801976025095
t,juv_1,ls,con,0.029215110962851
t,juv_3,ls,con,0.0283274283124574
t,juv_7,ls,con,0.0278106016596476
t,juv_9,ls,con,0.0265902557677907
t,juv_12,ls,con,0.029
t,sg_88,ls,con,0.0291026662967597
t,sg_90,ls,con,0.034
t,sg_93,ls,con,0.0287081847052018
t,sg_94,ls,con,0.0291655623566871
t,sg_12,ls,con,0.0288790642413037
t,sg_18,ls,con,0.0294621295009202
t,juv_4,ls,sti,0.0482407587885584
t,juv_5,ls,sti,0.0523776952474314
t,juv_6,ls,sti,0.0339167734222527
t,cj_124,ls,sti,0.0427166897418124
t,juv_10,ls,sti,0.0480727893342068
t,juv_11,ls,sti,0.000367395990054907
t,juv_14,ls,sti,0.00201406062211362
t,sg_20,ls,sti,0.969
t,sg_21,ls,sti,0.0130396075743855
t,sg_22,ls,sti,0.0471903583646348
t,sg_31,ls,sti,3.138
t,sg_36,ls,sti,0.609
t,sg_48,ls,sti,0.02
t,juv_15,ls,sti,0.0529244048789547
t,sg_14,ls,sti,0.0434931255610589
ae,juv_1,nac,con,NA
ae,juv_3,nac,con,NA
ae,juv_7,nac,con,NA
ae,juv_9,nac,con,NA
ae,juv_12,nac,con,NA
ae,sg_88,nac,con,NA
ae,sg_90,nac,con,NA
ae,sg_93,nac,con,NA
ae,sg_94,nac,con,NA
ae,sg_12,nac,con,NA
ae,sg_18,nac,con,NA
ae,juv_4,nac,sti,0.878566752210656
ae,juv_5,nac,sti,0.895223135501674
ae,juv_6,nac,sti,0.888367246150082
ae,cj_124,nac,sti,0.91
ae,juv_10,nac,sti,0.859703142690323
ae,juv_11,nac,sti,1.106
ae,juv_14,nac,sti,0.86312467964242
ae,sg_20,nac,sti,0.884488191434102
ae,sg_21,nac,sti,0.863285063351896
ae,sg_22,nac,sti,0.863014835488206
ae,sg_31,nac,sti,0.746882934298816
ae,sg_36,nac,sti,0.691091585277869
ae,sg_48,nac,sti,1.163
ae,juv_15,nac,sti,0.888325919553159
ae,sg_14,nac,sti,0.860217021517824
b,juv_1,nac,con,1.057
b,juv_3,nac,con,0.465
b,juv_7,nac,con,0.947
b,juv_9,nac,con,1.102
b,juv_12,nac,con,0.457
b,sg_88,nac,con,0.453
b,sg_90,nac,con,0.718
b,sg_93,nac,con,0.722
b,sg_94,nac,con,0.413642896977867
b,sg_12,nac,con,0.673
b,sg_18,nac,con,0.882
b,juv_4,nac,sti,2.527
b,juv_5,nac,sti,1.433
b,juv_6,nac,sti,1.188
b,cj_124,nac,sti,1.89
b,juv_10,nac,sti,0.498
b,juv_11,nac,sti,1.894
b,juv_14,nac,sti,1.682
b,sg_20,nac,sti,1.498
b,sg_21,nac,sti,2.037
b,sg_22,nac,sti,2.082
b,sg_31,nac,sti,1.118
b,sg_36,nac,sti,3.355
b,sg_48,nac,sti,3.461
b,juv_15,nac,sti,1.894
b,sg_14,nac,sti,1.127
dhc,juv_1,nac,con,NA
dhc,juv_3,nac,con,NA
dhc,juv_7,nac,con,NA
dhc,juv_9,nac,con,NA
dhc,juv_12,nac,con,NA
dhc,sg_88,nac,con,NA
dhc,sg_90,nac,con,NA
dhc,sg_93,nac,con,NA
dhc,sg_94,nac,con,NA
dhc,sg_12,nac,con,NA
dhc,sg_18,nac,con,NA
dhc,juv_4,nac,sti,NA
dhc,juv_5,nac,sti,NA
dhc,juv_6,nac,sti,NA
dhc,cj_124,nac,sti,NA
dhc,juv_10,nac,sti,NA
dhc,juv_11,nac,sti,NA
dhc,juv_14,nac,sti,NA
dhc,sg_20,nac,sti,NA
dhc,sg_21,nac,sti,NA
dhc,sg_22,nac,sti,NA
dhc,sg_31,nac,sti,NA
dhc,sg_36,nac,sti,NA
dhc,sg_48,nac,sti,NA
dhc,juv_15,nac,sti,NA
dhc,sg_14,nac,sti,NA
p4,juv_1,nac,con,NA
p4,juv_3,nac,con,NA
p4,juv_7,nac,con,NA
p4,juv_9,nac,con,NA
p4,juv_12,nac,con,NA
p4,sg_88,nac,con,NA
p4,sg_90,nac,con,NA
p4,sg_93,nac,con,NA
p4,sg_94,nac,con,NA
p4,sg_12,nac,con,NA
p4,sg_18,nac,con,NA
p4,juv_4,nac,sti,NA
p4,juv_5,nac,sti,NA
p4,juv_6,nac,sti,NA
p4,cj_124,nac,sti,NA
p4,juv_10,nac,sti,NA
p4,juv_11,nac,sti,NA
p4,juv_14,nac,sti,NA
p4,sg_20,nac,sti,NA
p4,sg_21,nac,sti,NA
p4,sg_22,nac,sti,NA
p4,sg_31,nac,sti,NA
p4,sg_36,nac,sti,NA
p4,sg_48,nac,sti,NA
p4,juv_15,nac,sti,NA
p4,sg_14,nac,sti,NA
t,juv_1,nac,con,NA
