,steroid,subject,matrix,condition,conc,tissue_weight
541,b,juv_6,adrenal,sti,8900.707,1.22
542,b,cj_124,adrenal,sti,5102.015,1.49
543,b,juv_10,adrenal,sti,1738.663,1.63
544,b,juv_11,adrenal,sti,6824.111,1.66
545,b,juv_14,adrenal,sti,1109.706,1.44
546,b,sg_20,adrenal,sti,5069.656,1.99
547,b,sg_21,adrenal,sti,2888.128,1.51
548,b,sg_22,adrenal,sti,3129.288,1.59
549,b,sg_31,adrenal,sti,2397.132,1.43
550,b,sg_36,adrenal,sti,3429.578,2.11
551,b,juv_15,adrenal,sti,2995.736,2.06
552,b,sg_14,adrenal,sti,4774.279,1.46
553,dhc,juv_1,adrenal,con,1821.776,1.64
554,dhc,juv_3,adrenal,con,1209.066,0.74
555,dhc,juv_7,adrenal,con,1167.868,2.12
556,dhc,juv_9,adrenal,con,2407.576,1.14
557,dhc,juv_12,adrenal,con,1003.367,1.23
558,dhc,sg_88,adrenal,con,1559.351,1.8
559,dhc,sg_90,adrenal,con,788.785,2.28
560,dhc,sg_93,adrenal,con,1125.742,1.65
561,dhc,sg_94,adrenal,con,616.636,2.29
562,dhc,sg_12,adrenal,con,1325.612,2.15
563,dhc,juv_4,adrenal,sti,1110.911,1.88
564,dhc,juv_5,adrenal,sti,1857.681,1.6
565,dhc,juv_6,adrenal,sti,874.889,1.22
566,dhc,cj_124,adrenal,sti,1849.003,1.49
567,dhc,juv_10,adrenal,sti,1207.869,1.63
568,dhc,juv_11,adrenal,sti,2523.449,1.66
569,dhc,juv_14,adrenal,sti,155.985,1.44
570,dhc,sg_20,adrenal,sti,1263.48,1.99
571,dhc,sg_21,adrenal,sti,757.305,1.51
572,dhc,sg_22,adrenal,sti,1115.809,1.59
573,dhc,sg_31,adrenal,sti,422.675,1.43
574,dhc,sg_36,adrenal,sti,1338.711,2.11
575,dhc,juv_15,adrenal,sti,1160.481,2.06
576,dhc,sg_14,adrenal,sti,657.332,1.46
577,dht,juv_1,adrenal,con,NA,1.64
578,dht,juv_3,adrenal,con,NA,0.74
579,dht,juv_7,adrenal,con,NA,2.12
580,dht,juv_9,adrenal,con,NA,1.14
581,dht,juv_12,adrenal,con,NA,1.23
582,dht,sg_88,adrenal,con,NA,1.8
583,dht,sg_90,adrenal,con,NA,2.28
584,dht,sg_93,adrenal,con,NA,1.65
585,dht,sg_94,adrenal,con,NA,2.29
586,dht,sg_12,adrenal,con,NA,2.15
587,dht,juv_4,adrenal,sti,NA,1.88
588,dht,juv_5,adrenal,sti,NA,1.6
589,dht,juv_6,adrenal,sti,NA,1.22
